Date,Age,Account,MovementType,Amount,BalanceAfter,Remarks
2025-12-01,100000035,51,Loan,Payment,1687.39,237601.88,"Monthly loan payment"
2026-01-01,100000036,51,OA,Contribution,1702.21,187749.79,"Monthly allocation"
2026-01-01,100000037,51,SA,Contribution,443.83,268026.38,"Monthly allocation"
2026-01-01,100000038,51,MA,Contribution,591.96,81387.49,"Monthly allocation"
2026-01-01,100000039,51,Loan,Payment,1687.39,235914.49,"Monthly loan payment"
2026-02-01,100000040,51,OA,Contribution,1702.21,189452.00,"Monthly allocation"
2026-02-01,100000041,51,SA,Contribution,443.83,268470.21,"Monthly allocation"
2026-02-01,100000042,51,MA,Contribution,591.96,81979.45,"Monthly allocation"
2026-02-01,100000043,51,Loan,Payment,1687.39,234227.10,"Monthly loan payment"
2026-03-01,100000044,51,OA,Contribution,1702.21,191154.22,"Monthly allocation"
2026-03-01,100000045,51,SA,Contribution,443.83,268914.04,"Monthly allocation"
2026-03-01,100000046,51,MA,Contribution,591.96,82571.40,"Monthly allocation"
2026-03-01,100000047,51,Loan,Payment,1687.39,232539.71,"Monthly loan payment"
2026-04-01,100000048,51,OA,Contribution,1702.21,192856.43,"Monthly allocation"
2026-04-01,100000049,51,SA,Contribution,443.83,269357.87,"Monthly allocation"
2026-04-01,100000050,51,MA,Contribution,591.96,83163.36,"Monthly allocation"
2026-04-01,100000051,51,Loan,Payment,1687.39,230852.32,"Monthly loan payment"
2026-05-01,100000052,51,OA,Contribution,1702.21,194558.65,"Monthly allocation"
2026-05-01,100000053,51,SA,Contribution,443.83,269801.70,"Monthly allocation"
2026-05-01,100000054,51,MA,Contribution,591.96,83755.31,"Monthly allocation"
2026-05-01,100000055,51,Loan,Payment,1687.39,229164.93,"Monthly loan payment"
2026-06-01,100000056,51,OA,Contribution,1702.21,196260.86,"Monthly allocation"
2026-06-01,100000057,51,SA,Contribution,443.83,270245.53,"Monthly allocation"
2026-06-01,100000058,51,MA,Contribution,591.96,84347.27,"Monthly allocation"
2026-06-01,100000059,51,Loan,Payment,1687.39,227477.54,"Monthly loan payment"
2026-07-01,100000060,52,OA,Contribution,1702.21,197963.07,"Monthly allocation"
2026-07-01,100000061,52,SA,Contribution,443.83,270689.36,"Monthly allocation"
2026-07-01,100000062,52,MA,Contribution,591.96,84939.22,"Monthly allocation"
2026-07-01,100000063,52,Loan,Payment,1687.39,225790.15,"Monthly loan payment"
2026-08-01,100000064,52,OA,Contribution,1702.21,199665.29,"Monthly allocation"
2026-08-01,100000065,52,SA,Contribution,443.83,271133.19,"Monthly allocation"
2026-08-01,100000066,52,MA,Contribution,591.96,85531.18,"Monthly allocation"
2026-08-01,100000067,52,Loan,Payment,1687.39,224102.76,"Monthly loan payment"
2026-09-01,100000068,52,OA,Contribution,1702.21,201367.50,"Monthly allocation"
2026-09-01,100000069,52,SA,Contribution,443.83,271577.02,"Monthly allocation"
2026-09-01,100000070,52,MA,Contribution,591.96,86123.14,"Monthly allocation"
2026-09-01,100000071,52,Loan,Payment,1687.39,222415.37,"Monthly loan payment"
2026-10-01,100000072,52,OA,Contribution,1702.21,203069.72,"Monthly allocation"
2026-10-01,100000073,52,SA,Contribution,443.83,272020.85,"Monthly allocation"
2026-10-01,100000074,52,MA,Contribution,591.96,86715.09,"Monthly allocation"
2026-10-01,100000075,52,Loan,Payment,1687.39,220727.98,"Monthly loan payment"
2026-11-01,100000076,52,OA,Contribution,1702.21,204771.93,"Monthly allocation"
2026-11-01,100000077,52,SA,Contribution,443.83,272464.68,"Monthly allocation"
2026-11-01,100000078,52,MA,Contribution,591.96,87307.05,"Monthly allocation"
2026-11-01,100000079,52,Loan,Payment,1687.39,219040.59,"Monthly loan payment"
2026-12-01,100000080,52,OA,Contribution,1702.21,206474.15,"Monthly allocation"
2026-12-01,100000081,52,SA,Contribution,443.83,272908.51,"Monthly allocation"
2026-12-01,100000082,52,MA,Contribution,591.96,87899.00,"Monthly allocation"
2026-12-01,100000083,52,OA,Interest,5161.85,211636.00,"Annual base interest"
2026-12-01,100000084,52,SA,Interest,10916.34,283824.85,"Annual base interest"
2026-12-01,100000085,52,SA,Extra Interest,600.00,284424.85,"Annual extra interest"
2026-12-01,100000086,52,MA,Interest,3515.96,91414.96,"Annual base interest"
2026-12-01,100000087,52,Loan,Payment,1687.39,217353.20,"Monthly loan payment"
2027-01-01,100000088,52,OA,Contribution,1702.21,213338.22,"Monthly allocation"
2027-01-01,100000089,52,SA,Contribution,443.83,284868.68,"Monthly allocation"
2027-01-01,100000090,52,MA,Contribution,591.96,92006.92,"Monthly allocation"
2027-01-01,100000091,52,Loan,Payment,1687.39,215665.81,"Monthly loan payment"
2027-02-01,100000092,52,OA,Contribution,1702.21,215040.43,"Monthly allocation"
2027-02-01,100000093,52,SA,Contribution,443.83,285312.51,"Monthly allocation"
2027-02-01,100000094,52,MA,Contribution,591.96,92598.87,"Monthly allocation"
2027-02-01,100000095,52,Loan,Payment,1687.39,213978.42,"Monthly loan payment"
2027-03-01,100000096,52,OA,Contribution,1702.21,216742.65,"Monthly allocation"
2027-03-01,100000097,52,SA,Contribution,443.83,285756.34,"Monthly allocation"
2027-03-01,100000098,52,MA,Contribution,591.96,93190.83,"Monthly allocation"
2027-03-01,100000099,52,Loan,Payment,1687.39,212291.03,"Monthly loan payment"
2027-04-01,100000100,52,OA,Contribution,1702.21,218444.86,"Monthly allocation"
2027-04-01,100000101,52,SA,Contribution,443.83,286200.16,"Monthly allocation"
2027-04-01,100000102,52,MA,Contribution,591.96,93782.79,"Monthly allocation"
2027-04-01,100000103,52,Loan,Payment,1687.39,210603.64,"Monthly loan payment"
2027-05-01,100000104,52,OA,Contribution,1702.21,220147.07,"Monthly allocation"
2027-05-01,100000105,52,SA,Contribution,443.83,286643.99,"Monthly allocation"
2027-05-01,100000106,52,MA,Contribution,591.96,94374.74,"Monthly allocation"
2027-05-01,100000107,52,Loan,Payment,1770.99,208832.65,"Monthly loan payment"
2027-06-01,100000108,52,OA,Contribution,1702.21,221849.29,"Monthly allocation"
2027-06-01,100000109,52,SA,Contribution,443.83,287087.82,"Monthly allocation"
2027-06-01,100000110,52,MA,Contribution,591.96,94966.70,"Monthly allocation"
2027-06-01,100000111,52,Loan,Payment,1770.99,207061.66,"Monthly loan payment"
2027-07-01,100000112,53,OA,Contribution,1702.21,223551.50,"Monthly allocation"
2027-07-01,100000113,53,SA,Contribution,443.83,287531.65,"Monthly allocation"
2027-07-01,100000114,53,MA,Contribution,591.96,95558.65,"Monthly allocation"
2027-07-01,100000115,53,Loan,Payment,1770.99,205290.67,"Monthly loan payment"
2027-08-01,100000116,53,OA,Contribution,1702.21,225253.72,"Monthly allocation"
2027-08-01,100000117,53,SA,Contribution,443.83,287975.48,"Monthly allocation"
2027-08-01,100000118,53,MA,Contribution,591.96,96150.61,"Monthly allocation"
2027-08-01,100000119,53,Loan,Payment,1770.99,203519.68,"Monthly loan payment"
2027-09-01,100000120,53,OA,Contribution,1702.21,226955.93,"Monthly allocation"
2027-09-01,100000121,53,SA,Contribution,443.83,288419.31,"Monthly allocation"
2027-09-01,100000122,53,MA,Contribution,591.96,96742.56,"Monthly allocation"
2027-09-01,100000123,53,Loan,Payment,1770.99,201748.69,"Monthly loan payment"
2027-10-01,100000124,53,OA,Contribution,1702.21,228658.15,"Monthly allocation"
2027-10-01,100000125,53,SA,Contribution,443.83,288863.14,"Monthly allocation"
2027-10-01,100000126,53,MA,Contribution,591.96,97334.52,"Monthly allocation"
2027-10-01,100000127,53,Loan,Payment,1770.99,199977.70,"Monthly loan payment"
2027-11-01,100000128,53,OA,Contribution,1702.21,230360.36,"Monthly allocation"
2027-11-01,100000129,53,SA,Contribution,443.83,289306.97,"Monthly allocation"
2027-11-01,100000130,53,MA,Contribution,591.96,97926.47,"Monthly allocation"
2027-11-01,100000131,53,Loan,Payment,1770.99,198206.71,"Monthly loan payment"
2027-12-01,100000132,53,OA,Contribution,1702.21,232062.58,"Monthly allocation"
2027-12-01,100000133,53,SA,Contribution,443.83,289750.80,"Monthly allocation"
2027-12-01,100000134,53,MA,Contribution,591.96,98518.43,"Monthly allocation"
2027-12-01,100000135,53,OA,Interest,5801.56,237864.14,"Annual base interest"
2027-12-01,100000136,53,SA,Interest,11590.03,301340.84,"Annual base interest"
2027-12-01,100000137,53,SA,Extra Interest,600.00,301940.84,"Annual extra interest"
2027-12-01,100000138,53,MA,Interest,3940.74,102459.17,"Annual base interest"
2027-12-01,100000139,53,Loan,Payment,1770.99,196435.72,"Monthly loan payment"
2028-01-01,100000140,53,OA,Contribution,1702.21,239566.36,"Monthly allocation"
2028-01-01,100000141,53,SA,Contribution,443.83,302384.67,"Monthly allocation"
2028-01-01,100000142,53,MA,Contribution,591.96,103051.12,"Monthly allocation"
2028-01-01,100000143,53,Loan,Payment,1770.99,194664.73,"Monthly loan payment"
2028-02-01,100000144,53,OA,Contribution,1702.21,241268.57,"Monthly allocation"
2028-02-01,100000145,53,SA,Contribution,443.83,302828.50,"Monthly allocation"
2028-02-01,100000146,53,MA,Contribution,591.96,103643.08,"Monthly allocation"
2028-02-01,100000147,53,Loan,Payment,1770.99,192893.74,"Monthly loan payment"
2028-03-01,100000148,53,OA,Contribution,1702.21,242970.78,"Monthly allocation"
2028-03-01,100000149,53,SA,Contribution,443.83,303272.32,"Monthly allocation"
2028-03-01,100000150,53,MA,Contribution,591.96,104235.03,"Monthly allocation"
2028-03-01,100000151,53,Loan,Payment,1770.99,191122.75,"Monthly loan payment"
2028-04-01,100000152,53,OA,Contribution,1702.21,244673.00,"Monthly allocation"
2028-04-01,100000153,53,SA,Contribution,443.83,303716.15,"Monthly allocation"
2028-04-01,100000154,53,MA,Contribution,591.96,104826.99,"Monthly allocation"
2028-04-01,100000155,53,Loan,Payment,1770.99,189351.76,"Monthly loan payment"
2028-05-01,100000156,53,OA,Contribution,1702.21,246375.21,"Monthly allocation"
2028-05-01,100000157,53,SA,Contribution,443.83,304159.98,"Monthly allocation"
2028-05-01,100000158,53,MA,Contribution,591.96,105418.95,"Monthly allocation"
2028-05-01,100000159,53,Loan,Payment,1817.49,187534.27,"Monthly loan payment"
2028-06-01,100000160,53,OA,Contribution,1702.21,248077.43,"Monthly allocation"
2028-06-01,100000161,53,SA,Contribution,443.83,304603.81,"Monthly allocation"
2028-06-01,100000162,53,MA,Contribution,591.96,106010.90,"Monthly allocation"
2028-06-01,100000163,53,Loan,Payment,1817.49,185716.78,"Monthly loan payment"
2028-07-01,100000164,54,OA,Contribution,1702.21,249779.64,"Monthly allocation"
2028-07-01,100000165,54,SA,Contribution,443.83,305047.64,"Monthly allocation"
2028-07-01,100000166,54,MA,Contribution,591.96,106602.86,"Monthly allocation"
2028-07-01,100000167,54,Loan,Payment,1817.49,183899.29,"Monthly loan payment"
2028-08-01,100000168,54,OA,Contribution,1702.21,251481.86,"Monthly allocation"
2028-08-01,100000169,54,SA,Contribution,443.83,305491.47,"Monthly allocation"
2028-08-01,100000170,54,MA,Contribution,591.96,107194.81,"Monthly allocation"
2028-08-01,100000171,54,Loan,Payment,1817.49,182081.80,"Monthly loan payment"
2028-09-01,100000172,54,OA,Contribution,1702.21,253184.07,"Monthly allocation"
2028-09-01,100000173,54,SA,Contribution,443.83,305935.30,"Monthly allocation"
2028-09-01,100000174,54,MA,Contribution,591.96,107786.77,"Monthly allocation"
2028-09-01,100000175,54,Loan,Payment,1817.49,180264.31,"Monthly loan payment"
2028-10-01,100000176,54,OA,Contribution,1702.21,254886.29,"Monthly allocation"
2028-10-01,100000177,54,SA,Contribution,443.83,306379.13,"Monthly allocation"
2028-10-01,100000178,54,MA,Contribution,591.96,108378.72,"Monthly allocation"
2028-10-01,100000179,54,Loan,Payment,1817.49,178446.82,"Monthly loan payment"
2028-11-01,100000180,54,OA,Contribution,1702.21,256588.50,"Monthly allocation"
2028-11-01,100000181,54,SA,Contribution,443.83,306822.96,"Monthly allocation"
2028-11-01,100000182,54,MA,Contribution,591.96,108970.68,"Monthly allocation"
2028-11-01,100000183,54,Loan,Payment,1817.49,176629.33,"Monthly loan payment"
2028-12-01,100000184,54,OA,Contribution,1702.21,258290.72,"Monthly allocation"
2028-12-01,100000185,54,SA,Contribution,443.83,307266.79,"Monthly allocation"
2028-12-01,100000186,54,MA,Contribution,591.96,109562.63,"Monthly allocation"
2028-12-01,100000187,54,OA,Interest,6457.27,264747.98,"Annual base interest"
2028-12-01,100000188,54,SA,Interest,12290.67,319557.46,"Annual base interest"
2028-12-01,100000189,54,SA,Extra Interest,600.00,320157.46,"Annual extra interest"
2028-12-01,100000190,54,MA,Interest,4382.51,113945.14,"Annual base interest"
2028-12-01,100000191,54,Loan,Payment,1817.49,174811.84,"Monthly loan payment"
2029-01-01,100000192,54,OA,Contribution,1702.21,266450.20,"Monthly allocation"
2029-01-01,100000193,54,SA,Contribution,443.83,320601.29,"Monthly allocation"
2029-01-01,100000194,54,MA,Contribution,591.96,114537.10,"Monthly allocation"
2029-01-01,100000195,54,Loan,Payment,1817.49,172994.35,"Monthly loan payment"
2029-02-01,100000196,54,OA,Contribution,1702.21,268152.41,"Monthly allocation"
2029-02-01,100000197,54,SA,Contribution,443.83,321045.12,"Monthly allocation"
2029-02-01,100000198,54,MA,Contribution,591.96,115129.05,"Monthly allocation"
2029-02-01,100000199,54,Loan,Payment,1817.49,171176.86,"Monthly loan payment"
2029-03-01,100000200,54,OA,Contribution,1702.21,269854.63,"Monthly allocation"
2029-03-01,100000201,54,SA,Contribution,443.83,321488.95,"Monthly allocation"
2029-03-01,100000202,54,MA,Contribution,591.96,115721.01,"Monthly allocation"
2029-03-01,100000203,54,Loan,Payment,1817.49,169359.37,"Monthly loan payment"
2029-04-01,100000204,54,OA,Contribution,1702.21,271556.84,"Monthly allocation"
2029-04-01,100000205,54,SA,Contribution,443.83,321932.78,"Monthly allocation"
2029-04-01,100000206,54,MA,Contribution,591.96,116312.96,"Monthly allocation"
2029-04-01,100000207,54,Loan,Payment,1817.49,167541.88,"Monthly loan payment"
2029-05-01,100000208,54,OA,Contribution,1702.21,273259.06,"Monthly allocation"
2029-05-01,100000209,54,SA,Contribution,443.83,322376.61,"Monthly allocation"
2029-05-01,100000210,54,MA,Contribution,591.96,116904.92,"Monthly allocation"
2029-05-01,100000211,54,Loan,Payment,1817.49,165724.39,"Monthly loan payment"
2029-06-01,100000212,54,OA,Contribution,1702.21,274961.27,"Monthly allocation"
2029-06-01,100000213,54,SA,Contribution,443.83,322820.44,"Monthly allocation"
2029-06-01,100000214,54,MA,Contribution,591.96,117496.87,"Monthly allocation"
2029-06-01,100000215,54,Loan,Payment,1817.49,163906.90,"Monthly loan payment"
2029-07-01,100000216,55,OA,Contribution,792.73,275754.00,"Monthly allocation"
2029-07-01,100000217,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-07-01,100000218,55,MA,Contribution,693.16,118190.03,"Monthly allocation"
2029-07-01,100000219,55,Loan,Payment,1817.49,162089.41,"Monthly loan payment"
2029-07-01,100000220,55,OA,Transfer to RA,275754.00,0.00,"OA to RA at 55"
2029-07-01,100000221,55,SA,Transfer to RA,322820.44,0.00,"SA to RA at 55"
2029-07-01,100000222,55,RA,Creation/Transfer In,437145.15,437145.15,"RA created at 55, OA+SA+RA allocation minus loan"
2029-07-01,100000223,55,Loan,Cleared at 55,162089.41,0.00,"Loan cleared at 55"
2029-08-01,100000224,55,OA,Contribution,792.73,276546.74,"Monthly allocation"
2029-08-01,100000225,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-08-01,100000226,55,MA,Contribution,693.16,118883.19,"Monthly allocation"
2029-08-01,100000227,55,Loan,Payment,1817.49,160271.92,"Monthly loan payment"
2029-08-01,100000228,55,OA,Transfer to RA,276546.74,0.00,"OA to RA at 55"
2029-08-01,100000229,55,SA,Transfer to RA,322820.44,0.00,"SA to RA at 55"
2029-08-01,100000230,55,RA,Creation/Transfer In,439755.37,439755.37,"RA created at 55, OA+SA+RA allocation minus loan"
2029-08-01,100000231,55,Loan,Cleared at 55,160271.92,0.00,"Loan cleared at 55"
2029-09-01,100000232,55,OA,Contribution,792.73,277339.47,"Monthly allocation"
2029-09-01,100000233,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-09-01,100000234,55,MA,Contribution,693.16,119576.35,"Monthly allocation"
2029-09-01,100000235,55,Loan,Payment,1817.49,158454.43,"Monthly loan payment"
2029-09-01,100000236,55,OA,Transfer to RA,277339.47,0.00,"OA to RA at 55"
2029-09-01,100000237,55,SA,Transfer to RA,322820.44,0.00,"SA to RA at 55"
2029-09-01,100000238,55,RA,Creation/Transfer In,442365.59,442365.59,"RA created at 55, OA+SA+RA allocation minus loan"
2029-09-01,100000239,55,Loan,Cleared at 55,158454.43,0.00,"Loan cleared at 55"
2029-10-01,100000240,55,OA,Contribution,792.73,278132.20,"Monthly allocation"
2029-10-01,100000241,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-10-01,100000242,55,MA,Contribution,693.16,120269.51,"Monthly allocation"
2029-10-01,100000243,55,Loan,Payment,1817.49,156636.94,"Monthly loan payment"
2029-10-01,100000244,55,OA,Transfer to RA,278132.20,0.00,"OA to RA at 55"
2029-10-01,100000245,55,SA,Transfer to RA,322820.44,0.00,"SA to RA at 55"
2029-10-01,100000246,55,RA,Creation/Transfer In,444975.81,444975.81,"RA created at 55, OA+SA+RA allocation minus loan"
2029-10-01,100000247,55,Loan,Cleared at 55,156636.94,0.00,"Loan cleared at 55"
2029-11-01,100000248,55,OA,Contribution,792.73,278924.93,"Monthly allocation"
2029-11-01,100000249,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-11-01,100000250,55,MA,Contribution,693.16,120962.66,"Monthly allocation"
2029-11-01,100000251,55,Loan,Payment,1817.49,154819.45,"Monthly loan payment"
2029-11-01,100000252,55,OA,Transfer to RA,278924.93,0.00,"OA to RA at 55"
2029-11-01,100000253,55,SA,Transfer to RA,322820.44,0.00,"SA to RA at 55"
2029-11-01,100000254,55,RA,Creation/Transfer In,447586.04,447586.04,"RA created at 55, OA+SA+RA allocation minus loan"
2029-11-01,100000255,55,Loan,Cleared at 55,154819.45,0.00,"Loan cleared at 55"
2029-12-01,100000256,55,OA,Contribution,792.73,279717.67,"Monthly allocation"
2029-12-01,100000257,55,SA,Contribution,0.00,322820.44,"Monthly allocation"
2029-12-01,100000258,55,MA,Contribution,693.16,121655.82,"Monthly allocation"
2029-12-01,100000259,55,OA,Interest,11188.71,290906.37,"Annual base interest"
2029-12-01,100000260,55,MA,Interest,4866.23,126522.05,"Annual base interest"
2029-12-01,100000261,55,RA,Interest,0.00,0.00,"Annual base + extra interest"
2029-12-01,100000262,55,RA,Extra Interest,900.00,900.00,"Annual base + extra interest"
2029-12-01,100000263,55,Loan,Payment,1817.49,153001.96,"Monthly loan payment"
2030-01-01,100000264,55,OA,Contribution,792.73,291699.11,"Monthly allocation"
2030-01-01,100000265,55,MA,Contribution,693.16,127215.21,"Monthly allocation"
2030-01-01,100000266,55,RA,Contribution,660.11,1560.11,"Monthly allocation"
2030-01-01,100000267,55,Loan,Payment,1817.49,151184.47,"Monthly loan payment"
2030-02-01,100000268,55,OA,Contribution,792.73,292491.84,"Monthly allocation"
2030-02-01,100000269,55,MA,Contribution,693.16,127908.37,"Monthly allocation"
2030-02-01,100000270,55,RA,Contribution,660.11,2220.22,"Monthly allocation"
2030-02-01,100000271,55,Loan,Payment,1817.49,149366.98,"Monthly loan payment"
2030-03-01,100000272,55,OA,Contribution,792.73,293284.57,"Monthly allocation"
2030-03-01,100000273,55,MA,Contribution,693.16,128601.53,"Monthly allocation"
2030-03-01,100000274,55,RA,Contribution,660.11,2880.33,"Monthly allocation"
2030-03-01,100000275,55,Loan,Payment,1817.49,147549.49,"Monthly loan payment"
2030-04-01,100000276,55,OA,Contribution,792.73,294077.30,"Monthly allocation"
2030-04-01,100000277,55,MA,Contribution,693.16,129294.69,"Monthly allocation"
2030-04-01,100000278,55,RA,Contribution,660.11,3540.44,"Monthly allocation"
2030-04-01,100000279,55,Loan,Payment,1817.49,145732.00,"Monthly loan payment"
2030-05-01,100000280,55,OA,Contribution,792.73,294870.03,"Monthly allocation"
2030-05-01,100000281,55,MA,Contribution,693.16,129987.84,"Monthly allocation"
2030-05-01,100000282,55,RA,Contribution,660.11,4200.55,"Monthly allocation"
2030-05-01,100000283,55,Loan,Payment,1817.49,143914.51,"Monthly loan payment"
2030-06-01,100000284,55,OA,Contribution,792.73,295662.77,"Monthly allocation"
2030-06-01,100000285,55,MA,Contribution,693.16,130681.00,"Monthly allocation"
2030-06-01,100000286,55,RA,Contribution,660.11,4860.66,"Monthly allocation"
2030-06-01,100000287,55,Loan,Payment,1817.49,142097.02,"Monthly loan payment"
2030-07-01,100000288,56,OA,Contribution,792.73,296455.50,"Monthly allocation"
2030-07-01,100000289,56,MA,Contribution,693.16,131374.16,"Monthly allocation"
2030-07-01,100000290,56,RA,Contribution,660.11,5520.77,"Monthly allocation"
2030-07-01,100000291,56,Loan,Payment,1817.49,140279.53,"Monthly loan payment"
2030-08-01,100000292,56,OA,Contribution,792.73,297248.23,"Monthly allocation"
2030-08-01,100000293,56,MA,Contribution,693.16,132067.32,"Monthly allocation"
2030-08-01,100000294,56,RA,Contribution,660.11,6180.88,"Monthly allocation"
2030-08-01,100000295,56,Loan,Payment,1817.49,138462.04,"Monthly loan payment"
2030-09-01,100000296,56,OA,Contribution,792.73,298040.96,"Monthly allocation"
2030-09-01,100000297,56,MA,Contribution,693.16,132760.48,"Monthly allocation"
2030-09-01,100000298,56,RA,Contribution,660.11,6840.99,"Monthly allocation"
2030-09-01,100000299,56,Loan,Payment,1817.49,136644.55,"Monthly loan payment"
2030-10-01,100000300,56,OA,Contribution,792.73,298833.70,"Monthly allocation"
2030-10-01,100000301,56,MA,Contribution,693.16,133453.63,"Monthly allocation"
2030-10-01,100000302,56,RA,Contribution,660.11,7501.10,"Monthly allocation"
2030-10-01,100000303,56,Loan,Payment,1817.49,134827.06,"Monthly loan payment"
2030-11-01,100000304,56,OA,Contribution,792.73,299626.43,"Monthly allocation"
2030-11-01,100000305,56,MA,Contribution,693.16,134146.79,"Monthly allocation"
2030-11-01,100000306,56,RA,Contribution,660.11,8161.21,"Monthly allocation"
2030-11-01,100000307,56,Loan,Payment,1817.49,133009.57,"Monthly loan payment"
2030-12-01,100000308,56,OA,Contribution,792.73,300419.16,"Monthly allocation"
2030-12-01,100000309,56,MA,Contribution,693.16,134839.95,"Monthly allocation"
2030-12-01,100000310,56,RA,Contribution,660.11,8821.32,"Monthly allocation"
2030-12-01,100000311,56,OA,Interest,12016.77,312435.93,"Annual base interest"
2030-12-01,100000312,56,MA,Interest,5393.60,140233.55,"Annual base interest"
2030-12-01,100000313,56,RA,Interest,352.85,9174.17,"Annual base + extra interest"
2030-12-01,100000314,56,RA,Extra Interest,900.00,10074.17,"Annual base + extra interest"
2030-12-01,100000315,56,Loan,Payment,1817.49,131192.08,"Monthly loan payment"
2031-01-01,100000316,56,OA,Contribution,792.73,313228.66,"Monthly allocation"
2031-01-01,100000317,56,MA,Contribution,693.16,140926.71,"Monthly allocation"
2031-01-01,100000318,56,RA,Contribution,660.11,10734.28,"Monthly allocation"
2031-01-01,100000319,56,Loan,Payment,1817.49,129374.59,"Monthly loan payment"
2031-02-01,100000320,56,OA,Contribution,792.73,314021.39,"Monthly allocation"
2031-02-01,100000321,56,MA,Contribution,693.16,141619.86,"Monthly allocation"
2031-02-01,100000322,56,RA,Contribution,660.11,11394.39,"Monthly allocation"
2031-02-01,100000323,56,Loan,Payment,1817.49,127557.10,"Monthly loan payment"
2031-03-01,100000324,56,OA,Contribution,792.73,314814.13,"Monthly allocation"
2031-03-01,100000325,56,MA,Contribution,693.16,142313.02,"Monthly allocation"
2031-03-01,100000326,56,RA,Contribution,660.11,12054.50,"Monthly allocation"
2031-03-01,100000327,56,Loan,Payment,1817.49,125739.61,"Monthly loan payment"
2031-04-01,100000328,56,OA,Contribution,792.73,315606.86,"Monthly allocation"
2031-04-01,100000329,56,MA,Contribution,693.16,143006.18,"Monthly allocation"
2031-04-01,100000330,56,RA,Contribution,660.11,12714.61,"Monthly allocation"
2031-04-01,100000331,56,Loan,Payment,1817.49,123922.12,"Monthly loan payment"
2031-05-01,100000332,56,OA,Contribution,792.73,316399.59,"Monthly allocation"
2031-05-01,100000333,56,MA,Contribution,693.16,143699.34,"Monthly allocation"
2031-05-01,100000334,56,RA,Contribution,660.11,13374.72,"Monthly allocation"
2031-05-01,100000335,56,Loan,Payment,1817.49,122104.63,"Monthly loan payment"
2031-06-01,100000336,56,OA,Contribution,792.73,317192.32,"Monthly allocation"
2031-06-01,100000337,56,MA,Contribution,693.16,144392.50,"Monthly allocation"
2031-06-01,100000338,56,RA,Contribution,660.11,14034.83,"Monthly allocation"
